,Country,Date,Confirmed,Active,Deaths,Recovered
233,Belgium,2/17/20,1,0,0,1
234,Belgium,2/18/20,1,0,0,1
235,Belgium,2/19/20,1,0,0,1
236,Belgium,2/20/20,1,0,0,1
237,Belgium,2/21/20,1,0,0,1
238,Belgium,2/22/20,1,0,0,1
239,Belgium,2/23/20,1,0,0,1
240,Belgium,2/24/20,1,0,0,1
241,Belgium,2/25/20,1,0,0,1
242,Belgium,2/26/20,1,0,0,1
243,Belgium,2/27/20,1,0,0,1
244,Belgium,2/28/20,1,0,0,1
245,Belgium,2/29/20,1,0,0,1
246,Belgium,2/4/20,1,1,0,0
247,Belgium,2/5/20,1,1,0,0
248,Belgium,2/6/20,1,1,0,0
249,Belgium,2/7/20,1,1,0,0
250,Belgium,2/8/20,1,1,0,0
251,Belgium,2/9/20,1,1,0,0
252,Belgium,3/1/20,2,1,0,1
253,Belgium,3/10/20,267,266,0,1
254,Belgium,3/11/20,314,310,3,1
255,Belgium,3/12/20,314,310,3,1
256,Belgium,3/13/20,559,555,3,1
257,Belgium,3/14/20,689,684,4,1
258,Belgium,3/15/20,886,881,4,1
259,Belgium,3/16/20,1058,1052,5,1
260,Belgium,3/17/20,1243,1232,10,1
261,Belgium,3/18/20,1486,1441,14,31
262,Belgium,3/19/20,1795,1743,21,31
263,Belgium,3/2/20,8,7,0,1
264,Belgium,3/3/20,13,12,0,1
265,Belgium,3/4/20,23,22,0,1
266,Belgium,3/5/20,50,49,0,1
267,Belgium,3/6/20,109,108,0,1
268,Belgium,3/7/20,169,168,0,1
269,Belgium,3/8/20,200,199,0,1
270,Belgium,3/9/20,239,238,0,1
271,Benin,3/16/20,1,1,0,0
272,Benin,3/17/20,1,1,0,0
273,Benin,3/18/20,2,2,0,0
274,Benin,3/19/20,2,2,0,0
275,Bhutan,3/10/20,1,1,0,0
276,Bhutan,3/11/20,1,1,0,0
277,Bhutan,3/12/20,1,1,0,0
278,Bhutan,3/13/20,1,1,0,0
279,Bhutan,3/14/20,1,1,0,0
280,Bhutan,3/15/20,1,1,0,0
281,Bhutan,3/16/20,1,1,0,0
282,Bhutan,3/17/20,1,1,0,0
283,Bhutan,3/18/20,1,1,0,0
284,Bhutan,3/19/20,1,1,0,0
285,Bhutan,3/6/20,1,1,0,0
286,Bhutan,3/7/20,1,1,0,0
287,Bhutan,3/8/20,1,1,0,0
288,Bhutan,3/9/20,1,1,0,0
289,Bolivia,3/11/20,2,2,0,0
290,Bolivia,3/12/20,2,2,0,0
291,Bolivia,3/13/20,3,3,0,0
292,Bolivia,3/14/20,10,10,0,0
293,Bolivia,3/15/20,10,10,0,0
294,Bolivia,3/16/20,11,11,0,0
295,Bolivia,3/17/20,11,11,0,0
296,Bolivia,3/18/20,12,12,0,0
297,Bolivia,3/19/20,12,12,0,0
298,Bosnia and Herzegovina,3/10/20,5,5,0,0
299,Bosnia and Herzegovina,3/11/20,7,7,0,0
300,Bosnia and Herzegovina,3/12/20,11,11,0,0
301,Bosnia and Herzegovina,3/13/20,13,13,0,0
302,Bosnia and Herzegovina,3/14/20,18,18,0,0
303,Bosnia and Herzegovina,3/15/20,24,24,0,0
304,Bosnia and Herzegovina,3/16/20,25,25,0,0
305,Bosnia and Herzegovina,3/17/20,26,24,0,2
306,Bosnia and Herzegovina,3/18/20,38,36,0,2
307,Bosnia and Herzegovina,3/19/20,63,61,0,2
308,Bosnia and Herzegovina,3/5/20,2,2,0,0
309,Bosnia and Herzegovina,3/6/20,2,2,0,0
310,Bosnia and Herzegovina,3/7/20,3,3,0,0
311,Bosnia and Herzegovina,3/8/20,3,3,0,0
312,Bosnia and Herzegovina,3/9/20,3,3,0,0
313,Brazil,2/26/20,1,1,0,0
314,Brazil,2/27/20,1,1,0,0
315,Brazil,2/28/20,1,1,0,0
316,Brazil,2/29/20,2,2,0,0
317,Brazil,3/1/20,2,2,0,0
318,Brazil,3/10/20,31,31,0,0
319,Brazil,3/11/20,38,38,0,0
320,Brazil,3/12/20,52,52,0,0
321,Brazil,3/13/20,151,151,0,0
322,Brazil,3/14/20,151,151,0,0
323,Brazil,3/15/20,162,162,0,0
324,Brazil,3/16/20,200,199,0,1
325,Brazil,3/17/20,321,318,1,2
326,Brazil,3/18/20,372,367,3,2
327,Brazil,3/19/20,621,613,6,2
328,Brazil,3/2/20,2,2,0,0
329,Brazil,3/3/20,2,2,0,0
330,Brazil,3/4/20,4,4,0,0
331,Brazil,3/5/20,4,4,0,0
332,Brazil,3/6/20,13,13,0,0
333,Brazil,3/7/20,13,13,0,0
334,Brazil,3/8/20,20,20,0,0
335,Brazil,3/9/20,25,25,0,0
336,Brunei,3/10/20,1,1,0,0
337,Brunei,3/11/20,11,11,0,0
338,Brunei,3/12/20,11,11,0,0
